Iteration,Smin,Fmax,AUPR,Perturbation Chance
1,45.895,0.476,0.418,0.1
2,45.898,0.475,0.417,0.1
3,45.950,0.476,0.416,0.1
4,45.918,0.476,0.418,0.1
5,45.924,0.478,0.418,0.1
6,45.914,0.477,0.417,0.1
7,45.932,0.477,0.416,0.1
8,45.895,0.478,0.418,0.1
9,45.878,0.478,0.419,0.1
10,45.945,0.478,0.417,0.1
1,45.407,0.496,0.434,0.2
2,45.405,0.497,0.435,0.2
3,45.393,0.496,0.435,0.2
4,45.398,0.496,0.435,0.2
5,45.400,0.495,0.434,0.2
6,45.425,0.495,0.435,0.2
7,45.391,0.495,0.434,0.2
8,45.401,0.495,0.434,0.2
9,45.407,0.495,0.433,0.2
10,45.422,0.497,0.434,0.2
1,45.055,0.508,0.449,0.3
2,45.074,0.508,0.446,0.3
3,45.050,0.508,0.447,0.3
4,45.064,0.509,0.448,0.3
5,45.043,0.508,0.446,0.3
6,45.072,0.507,0.449,0.3
7,45.035,0.509,0.449,0.3
8,45.068,0.509,0.449,0.3
9,45.055,0.508,0.448,0.3
10,45.087,0.508,0.446,0.3
1,44.852,0.513,0.452,0.4
2,44.845,0.513,0.455,0.4
3,44.858,0.513,0.451,0.4
4,44.863,0.513,0.445,0.4
5,44.874,0.513,0.449,0.4
6,44.877,0.513,0.453,0.4
7,44.858,0.513,0.452,0.4
8,44.846,0.513,0.453,0.4
9,44.860,0.513,0.452,0.4
10,44.849,0.513,0.453,0.4
1,44.818,0.514,0.447,0.5
2,44.811,0.515,0.447,0.5
3,44.812,0.515,0.451,0.5
4,44.815,0.514,0.453,0.5
5,44.826,0.514,0.452,0.5
6,44.814,0.514,0.448,0.5
7,44.809,0.515,0.452,0.5
8,44.811,0.515,0.446,0.5
9,44.821,0.514,0.460,0.5
10,44.813,0.515,0.449,0.5
1,44.799,0.515,0.461,0.6
2,44.799,0.515,0.452,0.6
3,44.807,0.515,0.460,0.6
4,44.801,0.515,0.453,0.6
5,44.795,0.515,0.460,0.6
6,44.800,0.515,0.461,0.6
7,44.803,0.515,0.455,0.6
8,44.793,0.515,0.460,0.6
9,44.797,0.515,0.447,0.6
10,44.799,0.515,0.449,0.6
1,44.792,0.515,0.461,0.7
2,44.783,0.515,0.461,0.7
3,44.781,0.515,0.461,0.7
4,44.783,0.515,0.449,0.7
5,44.787,0.515,0.461,0.7
6,44.782,0.515,0.461,0.7
7,44.780,0.515,0.461,0.7
8,44.783,0.515,0.449,0.7
9,44.793,0.515,0.461,0.7
10,44.785,0.515,0.461,0.7
1,44.781,0.515,0.461,0.8
2,44.779,0.515,0.427,0.8
3,44.782,0.516,0.461,0.8
4,44.781,0.516,0.461,0.8
5,44.776,0.516,0.427,0.8
6,44.785,0.516,0.461,0.8
7,44.779,0.516,0.461,0.8
8,44.780,0.515,0.461,0.8
9,44.788,0.515,0.461,0.8
10,44.775,0.516,0.461,0.8
1,44.775,0.516,0.427,0.9
2,44.774,0.516,0.461,0.9
3,44.777,0.516,0.427,0.9
4,44.779,0.516,0.461,0.9
5,44.776,0.516,0.427,0.9
6,44.784,0.516,0.461,0.9
7,44.777,0.516,0.461,0.9
8,44.776,0.516,0.461,0.9
9,44.777,0.516,0.461,0.9
10,44.782,0.516,0.427,0.9
