Iteration,Smin,Fmax,AUPR,Perturbation Chance
1,13.732,0.506,0.492,0.1
2,13.739,0.507,0.492,0.1
3,13.725,0.506,0.492,0.1
4,13.724,0.506,0.492,0.1
5,13.734,0.506,0.491,0.1
6,13.725,0.506,0.493,0.1
7,13.742,0.507,0.492,0.1
8,13.723,0.506,0.493,0.1
9,13.734,0.506,0.491,0.1
10,13.728,0.506,0.493,0.1
1,13.753,0.506,0.482,0.2
2,13.754,0.506,0.483,0.2
3,13.760,0.506,0.483,0.2
4,13.753,0.506,0.482,0.2
5,13.753,0.506,0.482,0.2
6,13.756,0.506,0.481,0.2
7,13.766,0.506,0.482,0.2
8,13.764,0.506,0.481,0.2
9,13.756,0.506,0.482,0.2
10,13.756,0.506,0.483,0.2
1,13.745,0.506,0.476,0.3
2,13.751,0.506,0.477,0.3
3,13.750,0.506,0.476,0.3
4,13.747,0.506,0.476,0.3
5,13.744,0.506,0.476,0.3
6,13.750,0.506,0.475,0.3
7,13.738,0.506,0.475,0.3
8,13.743,0.506,0.477,0.3
9,13.754,0.506,0.475,0.3
10,13.740,0.506,0.476,0.3
1,13.698,0.506,0.473,0.4
2,13.701,0.506,0.472,0.4
3,13.721,0.506,0.472,0.4
4,13.704,0.506,0.474,0.4
5,13.694,0.506,0.472,0.4
6,13.703,0.506,0.472,0.4
7,13.688,0.506,0.472,0.4
8,13.692,0.506,0.472,0.4
9,13.687,0.506,0.473,0.4
10,13.704,0.506,0.474,0.4
1,13.649,0.506,0.475,0.5
2,13.649,0.506,0.475,0.5
3,13.644,0.506,0.475,0.5
4,13.641,0.506,0.473,0.5
5,13.653,0.506,0.473,0.5
6,13.647,0.506,0.476,0.5
7,13.650,0.506,0.473,0.5
8,13.647,0.506,0.475,0.5
9,13.640,0.506,0.474,0.5
10,13.650,0.506,0.475,0.5
1,13.560,0.506,0.477,0.6
2,13.569,0.506,0.478,0.6
3,13.569,0.506,0.479,0.6
4,13.562,0.506,0.477,0.6
5,13.566,0.506,0.479,0.6
6,13.572,0.506,0.477,0.6
7,13.566,0.506,0.480,0.6
8,13.569,0.506,0.479,0.6
9,13.557,0.506,0.479,0.6
10,13.566,0.506,0.477,0.6
1,13.451,0.506,0.484,0.7
2,13.453,0.506,0.483,0.7
3,13.470,0.506,0.483,0.7
4,13.458,0.506,0.484,0.7
5,13.471,0.506,0.483,0.7
6,13.464,0.506,0.482,0.7
7,13.463,0.506,0.482,0.7
8,13.460,0.506,0.483,0.7
9,13.476,0.506,0.483,0.7
10,13.478,0.506,0.483,0.7
1,13.395,0.506,0.487,0.8
2,13.386,0.506,0.488,0.8
3,13.381,0.506,0.487,0.8
4,13.380,0.506,0.487,0.8
5,13.378,0.506,0.488,0.8
6,13.392,0.506,0.487,0.8
7,13.376,0.506,0.487,0.8
8,13.378,0.506,0.486,0.8
9,13.400,0.506,0.486,0.8
10,13.402,0.506,0.487,0.8
1,13.331,0.506,0.491,0.9
2,13.342,0.506,0.491,0.9
3,13.332,0.506,0.491,0.9
4,13.321,0.506,0.490,0.9
5,13.351,0.506,0.490,0.9
6,13.351,0.506,0.489,0.9
7,13.354,0.506,0.491,0.9
8,13.347,0.506,0.490,0.9
9,13.337,0.506,0.491,0.9
10,13.341,0.506,0.491,0.9
