Iteration,Smin,Fmax,AUPR,Perturbation Chance
1,9.853,0.649,0.624,0.1
2,9.866,0.649,0.623,0.1
3,9.873,0.647,0.623,0.1
4,9.872,0.648,0.623,0.1
5,9.850,0.649,0.623,0.1
6,9.873,0.648,0.623,0.1
7,9.862,0.647,0.623,0.1
8,9.835,0.650,0.623,0.1
9,9.818,0.649,0.625,0.1
10,9.848,0.649,0.625,0.1
1,9.686,0.656,0.627,0.2
2,9.687,0.656,0.628,0.2
3,9.679,0.656,0.627,0.2
4,9.684,0.656,0.628,0.2
5,9.673,0.656,0.624,0.2
6,9.681,0.657,0.628,0.2
7,9.669,0.656,0.628,0.2
8,9.672,0.656,0.628,0.2
9,9.685,0.656,0.627,0.2
10,9.676,0.656,0.628,0.2
1,9.665,0.657,0.628,0.3
2,9.663,0.657,0.601,0.3
3,9.662,0.657,0.601,0.3
4,9.662,0.657,0.600,0.3
5,9.663,0.657,0.628,0.3
6,9.662,0.657,0.600,0.3
7,9.665,0.657,0.628,0.3
8,9.662,0.657,0.600,0.3
9,9.665,0.657,0.628,0.3
10,9.662,0.657,0.628,0.3
1,9.663,0.657,0.600,0.4
2,9.662,0.657,0.601,0.4
3,9.662,0.657,0.600,0.4
4,9.662,0.657,0.600,0.4
5,9.662,0.657,0.600,0.4
6,9.662,0.657,0.601,0.4
7,9.662,0.657,0.600,0.4
8,9.662,0.657,0.601,0.4
9,9.662,0.657,0.600,0.4
10,9.662,0.657,0.600,0.4
1,9.662,0.657,0.600,0.5
2,9.662,0.657,0.600,0.5
3,9.662,0.657,0.600,0.5
4,9.662,0.657,0.600,0.5
5,9.662,0.657,0.600,0.5
6,9.662,0.657,0.601,0.5
7,9.662,0.657,0.600,0.5
8,9.662,0.657,0.600,0.5
9,9.662,0.657,0.600,0.5
10,9.662,0.657,0.600,0.5
1,9.664,0.657,0.600,0.6
2,9.666,0.657,0.600,0.6
3,9.664,0.657,0.600,0.6
4,9.664,0.657,0.600,0.6
5,9.664,0.657,0.600,0.6
6,9.664,0.657,0.600,0.6
7,9.664,0.657,0.600,0.6
8,9.664,0.657,0.600,0.6
9,9.664,0.657,0.600,0.6
10,9.664,0.657,0.600,0.6
1,9.662,0.657,0.600,0.7
2,9.662,0.657,0.600,0.7
3,9.662,0.657,0.600,0.7
4,9.662,0.657,0.600,0.7
5,9.662,0.657,0.600,0.7
6,9.662,0.657,0.600,0.7
7,9.662,0.657,0.600,0.7
8,9.662,0.657,0.600,0.7
9,9.662,0.657,0.600,0.7
10,9.662,0.657,0.600,0.7
1,9.662,0.657,0.600,0.8
2,9.662,0.657,0.600,0.8
3,9.662,0.657,0.600,0.8
4,9.662,0.657,0.600,0.8
5,9.662,0.657,0.600,0.8
6,9.662,0.657,0.600,0.8
7,9.662,0.657,0.600,0.8
8,9.662,0.657,0.600,0.8
9,9.662,0.657,0.600,0.8
10,9.662,0.657,0.600,0.8
1,9.662,0.657,0.600,0.9
2,9.662,0.657,0.600,0.9
3,9.662,0.657,0.600,0.9
4,9.662,0.657,0.600,0.9
5,9.662,0.657,0.600,0.9
6,9.662,0.657,0.600,0.9
7,9.662,0.657,0.600,0.9
8,9.662,0.657,0.600,0.9
9,9.662,0.657,0.600,0.9
10,9.662,0.657,0.600,0.9
