ACK1_YEAST	GO:0005575|0.818	GO:0110165|0.763	GO:0008150|0.839	GO:0009987|0.430
KIFC1_CRIGR	GO:0005575|0.813	GO:0110165|0.771	GO:0008150|0.811	GO:0009987|0.384
DSC3_HUMAN	GO:0005575|0.779	GO:0110165|0.705	GO:0008150|0.822	GO:0009987|0.362
2AAA_SCHPO	GO:0005575|0.754	GO:0110165|0.708	GO:0008150|0.831	GO:0009987|0.353
CH1CO_SYNAS	GO:0005575|0.692	GO:0110165|0.601	GO:0008150|0.818
ASM3A_MOUSE	GO:0005575|0.806	GO:0110165|0.745	GO:0008150|0.874	GO:0009987|0.464
NU3C_ORYSI	GO:0005575|0.638	GO:0110165|0.620	GO:0003674|0.318	GO:0008150|0.854	GO:0009987|0.348
CTDS1_MOUSE	GO:0005575|0.679	GO:0110165|0.663	GO:0008150|0.728
CH18_DROME	GO:0005575|0.733	GO:0110165|0.694	GO:0008150|0.753	GO:0009987|0.302
WTR15_ARATH	GO:0005575|0.795	GO:0110165|0.788	GO:0008150|0.764
GDL14_ARATH	GO:0005575|0.669	GO:0110165|0.623	GO:0008150|0.821	GO:0009987|0.370
ZC311_TRYB2	GO:0005575|0.622	GO:0110165|0.566	GO:0008150|0.746
PAXI_HUMAN	GO:0005575|0.762	GO:0110165|0.706	GO:0008150|0.897	GO:0009987|0.540
NIP71_ARATH	GO:0005575|0.723	GO:0110165|0.711	GO:0008150|0.795
SEI3_ARATH	GO:0005575|0.805	GO:0110165|0.782	GO:0008150|0.899	GO:0009987|0.404
NMD3_YEAST	GO:0005575|0.776	GO:0110165|0.744	GO:0008150|0.795	GO:0009987|0.340
RGAP6_ARATH	GO:0005575|0.834	GO:0110165|0.795	GO:0008150|0.771	GO:0009987|0.332
RCQ1_SCHPO	GO:0005575|0.864	GO:0110165|0.839	GO:0008150|0.811	GO:0016020|0.374	GO:0009987|0.403
CICH_EMENI	GO:0005575|0.704	GO:0110165|0.642	GO:0008150|0.857	GO:0009987|0.464
EXP17_ARATH	GO:0005575|0.752	GO:0110165|0.719	GO:0008150|0.890	GO:0009987|0.451
S61A2_MOUSE	GO:0005575|0.750	GO:0110165|0.689	GO:0008150|0.762
GP10_DICDI	GO:0005575|0.922	GO:0110165|0.908	GO:0008150|0.775	GO:0071944|0.319	GO:0009987|0.309
INSF1_ECOLI	GO:0005575|0.687	GO:0110165|0.618	GO:0008150|0.876	GO:0009987|0.474
TXD17_HUMAN	GO:0005575|0.723	GO:0110165|0.661	GO:0008150|0.846	GO:0009987|0.435
FBXW8_HUMAN	GO:0005575|0.688	GO:0110165|0.626	GO:0008150|0.758
ATP8_RAT	GO:0005575|0.793	GO:0110165|0.775	GO:0008150|0.606
RAS2_YEAST	GO:0005575|0.684	GO:0110165|0.642	GO:0008150|0.714
MAND_NOVAD	GO:0005575|0.586	GO:0110165|0.513	GO:0008150|0.771
YGCS_ECOLI	GO:0005575|0.806	GO:0110165|0.764	GO:0008150|0.863	GO:0009987|0.437
SPCS_MOUSE	GO:0005575|0.784	GO:0110165|0.782	GO:0008150|0.875	GO:0009987|0.448
CKS1_SCHPO	GO:0005575|0.429	GO:0110165|0.399	GO:0008150|0.504
MTMR8_HUMAN	GO:0005575|0.641	GO:0110165|0.598	GO:0008150|0.771
ATPA_BOVIN	GO:0005575|0.780	GO:0110165|0.719	GO:0008150|0.718
TBX12_CAEEL	GO:0005575|0.767	GO:0110165|0.726	GO:0008150|0.638
FAIM1_RAT	GO:0005575|0.601	GO:0110165|0.567	GO:0008150|0.770
IL31R_HUMAN	GO:0005575|0.877	GO:0110165|0.852	GO:0008150|0.820	GO:0009987|0.424
RIC1_YEAST	GO:0005575|0.810	GO:0110165|0.782	GO:0008150|0.880	GO:0009987|0.422	GO:0050896|0.303	GO:0050789|0.327	GO:0065007|0.331
TNNT3_RAT	GO:0005575|0.835	GO:0110165|0.813	GO:0008150|0.695	GO:0009987|0.386
CPYI_YEAST	GO:0005575|0.784	GO:0110165|0.751	GO:0008150|0.858	GO:0009987|0.406
L2HDH_MOUSE	GO:0005575|0.761	GO:0110165|0.709	GO:0008150|0.851	GO:0009987|0.405
HST2_SCHPO	GO:0005575|0.736	GO:0110165|0.716	GO:0008150|0.728
NUSAP_MOUSE	GO:0005575|0.856	GO:0110165|0.813	GO:0008150|0.782	GO:0009987|0.440
ARGB_ECOLI	GO:0005575|0.592	GO:0110165|0.533	GO:0008150|0.816	GO:0009987|0.351
CDR1_SCHPO	GO:0005575|0.780	GO:0110165|0.767	GO:0008150|0.783	GO:0009987|0.315
COX5A_DROME	GO:0005575|0.819	GO:0110165|0.757	GO:0008150|0.771	GO:0009987|0.384
TI17B_HUMAN	GO:0005575|0.669	GO:0110165|0.653	GO:0008150|0.817	GO:0009987|0.327
CLU_DICDI	GO:0005575|0.810	GO:0110165|0.784	GO:0008150|0.831	GO:0009987|0.427
PGDH_HUMAN	GO:0005575|0.743	GO:0110165|0.718	GO:0008150|0.851	GO:0009987|0.463
AKAP3_HUMAN	GO:0005575|0.862	GO:0110165|0.836	GO:0008150|0.751
CP1A2_RAT	GO:0005575|0.800	GO:0110165|0.766	GO:0008150|0.782
LSF1_ARATH	GO:0005575|0.735	GO:0110165|0.697	GO:0008150|0.744
2AB2C_ARATH	GO:0005575|0.753	GO:0110165|0.694	GO:0008150|0.829	GO:0009987|0.464
MGMT_MOUSE	GO:0005575|0.618	GO:0110165|0.599	GO:0008150|0.843	GO:0009987|0.394
UIF_HUMAN	GO:0005575|0.848	GO:0110165|0.815	GO:0008150|0.717
MFS12_HUMAN	GO:0005575|0.797	GO:0110165|0.729	GO:0008150|0.829	GO:0009987|0.415
SYT16_MOUSE	GO:0005575|0.815	GO:0110165|0.771	GO:0008150|0.837	GO:0009987|0.412
NAGG_RALSP	GO:0005575|0.652	GO:0110165|0.598	GO:0008150|0.774	GO:0009987|0.301
PFKA1_YEAST	GO:0005575|0.770	GO:0110165|0.723	GO:0008150|0.735
GYP10_SCHPO	GO:0005575|0.776	GO:0110165|0.724	GO:0008150|0.904	GO:0009987|0.551
S52A2_RAT	GO:0005575|0.872	GO:0110165|0.866	GO:0008150|0.861	GO:0016020|0.315	GO:0009987|0.469
MTHFS_HUMAN	GO:0005575|0.797	GO:0110165|0.769	GO:0008150|0.883	GO:0009987|0.521
IP5P2_ARATH	GO:0005575|0.801	GO:0110165|0.785	GO:0008150|0.625
Y1828_MYCTU	GO:0005575|0.622	GO:0110165|0.593	GO:0008150|0.724
FLA1_BORBU	GO:0005575|0.837	GO:0110165|0.777	GO:0008150|0.754
SKSP1_ASCTR	GO:0005575|0.384	GO:0008150|0.861	GO:0009987|0.396	GO:0050896|0.322	GO:0050789|0.375	GO:0065007|0.452
SEC24_YEAST	GO:0005575|0.828	GO:0110165|0.790	GO:0008150|0.784	GO:0009987|0.331
CTX11_LACTA	GO:0005575|0.773	GO:0110165|0.730	GO:0003674|0.346	GO:0008150|0.848	GO:0009987|0.538
THAA_DANRE	GO:0005575|0.704	GO:0110165|0.660	GO:0008150|0.911	GO:0009987|0.530
CWZF3_ORYSJ	GO:0005575|0.795	GO:0110165|0.761	GO:0008150|0.652
PDI22_ARATH	GO:0005575|0.745	GO:0110165|0.667	GO:0008150|0.664
FKB35_PLAF7	GO:0005575|0.775	GO:0110165|0.763	GO:0008150|0.826	GO:0009987|0.464
MZT1B_ARATH	GO:0005575|0.755	GO:0110165|0.672	GO:0008150|0.822	GO:0009987|0.361
YB95_ARATH	GO:0005575|0.752	GO:0110165|0.699	GO:0008150|0.734
GAUT3_ARATH	GO:0005575|0.776	GO:0110165|0.742	GO:0008150|0.856	GO:0009987|0.470
TCD2_YEAST	GO:0005575|0.755	GO:0110165|0.729	GO:0008150|0.813	GO:0009987|0.355
LFG1_ARATH	GO:0005575|0.857	GO:0110165|0.852	GO:0008150|0.886	GO:0016020|0.313	GO:0009987|0.540
FDR_SPHSX	GO:0005575|0.572	GO:0110165|0.551	GO:0008150|0.874	GO:0009987|0.447
TSPOB_HUMAN	GO:0005575|0.455	GO:0110165|0.381	GO:0008150|0.871	GO:0009987|0.458
PA2GA_MOUSE	GO:0005575|0.688	GO:0110165|0.678	GO:0008150|0.877	GO:0009987|0.374
CGAP3_VIBCH	GO:0005575|0.677	GO:0110165|0.599	GO:0008150|0.803	GO:0009987|0.417
MLH1_SCHPO	GO:0005575|0.797	GO:0110165|0.761	GO:0008150|0.779	GO:0009987|0.363
THIK2_ARATH	GO:0005575|0.749	GO:0110165|0.697	GO:0008150|0.768
PVDQ_PSEAE	GO:0005575|0.744	GO:0110165|0.702	GO:0008150|0.707
KLP_ARATH	GO:0005575|0.728	GO:0110165|0.685	GO:0008150|0.787
HBSAG_HBVCJ	GO:0005575|0.870	GO:0110165|0.843	GO:0008150|0.829	GO:0009987|0.359
NLGNY_HUMAN	GO:0005575|0.715	GO:0110165|0.673	GO:0008150|0.791
CNTN1_MOUSE	GO:0005575|0.711	GO:0110165|0.705	GO:0008150|0.858	GO:0009987|0.321
GRIK3_MACFA	GO:0005575|0.732	GO:0110165|0.680	GO:0008150|0.783	GO:0009987|0.319
NDC80_EMENI	GO:0005575|0.761	GO:0110165|0.731	GO:0008150|0.790
RK22_ORYSI	GO:0005575|0.821	GO:0110165|0.785	GO:0008150|0.767	GO:0009987|0.355
IF2A_RAT	GO:0005575|0.796	GO:0110165|0.768	GO:0008150|0.784	GO:0009987|0.337
RL27A_DICDI	GO:0005575|0.666	GO:0110165|0.632	GO:0008150|0.828	GO:0009987|0.329
HMX3_DANRE	GO:0005575|0.685	GO:0110165|0.631	GO:0008150|0.719
HFR1_ARATH	GO:0005575|0.734	GO:0110165|0.688	GO:0008150|0.889	GO:0009987|0.402
RIMJ_ECOLI	GO:0005575|0.498	GO:0110165|0.435	GO:0008150|0.813	GO:0009987|0.349
CDKL1_HUMAN	GO:0005575|0.701	GO:0110165|0.653	GO:0003674|0.309	GO:0008150|0.931	GO:0009987|0.645
I13R2_RAT	GO:0005575|0.702	GO:0110165|0.677	GO:0008150|0.840	GO:0009987|0.333
ACTBM_HUMAN	GO:0005575|0.715	GO:0110165|0.681	GO:0008150|0.747	GO:0009987|0.312
STE20_CANAL	GO:0005575|0.831	GO:0110165|0.811	GO:0008150|0.872	GO:0009987|0.432
VWA3B_HUMAN	GO:0005575|0.875	GO:0110165|0.855	GO:0008150|0.901	GO:0009987|0.503
ASCL1_MOUSE	GO:0005575|0.848	GO:0110165|0.833	GO:0008150|0.893	GO:0009987|0.576	GO:0050789|0.395	GO:0065007|0.395
APC1_ARATH	GO:0005575|0.801	GO:0110165|0.759	GO:0008150|0.847	GO:0009987|0.430
CAD11_MOUSE	GO:0005575|0.798	GO:0110165|0.765	GO:0008150|0.760	GO:0009987|0.309
ERF78_ARATH	GO:0005575|0.746	GO:0110165|0.695	GO:0008150|0.816	GO:0009987|0.357
ATNG_MOUSE	GO:0005575|0.839	GO:0110165|0.796	GO:0008150|0.919	GO:0009987|0.533	GO:0050896|0.332	GO:0050789|0.329	GO:0065007|0.391
SSG1_ORYSI	GO:0005575|0.690	GO:0110165|0.627	GO:0008150|0.672
ATP8_MOUSE	GO:0005575|0.849	GO:0110165|0.819	GO:0008150|0.615	GO:0016020|0.442
PP4P1_MOUSE	GO:0005575|0.852	GO:0110165|0.826	GO:0008150|0.939	GO:0009987|0.650	GO:0050789|0.393	GO:0065007|0.458
